,Baseline Models,,,,,,,,,,,,,,,,,,PCA,,,,,,,,,,,,,,,,,,PCA + Smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,RandomForest,0.47,0.5,0.48,0.38,0.13,0.19,0.68,0.85,0.76,0.62,0.51,0.49,0.48,0.57,0.62,0.57,,RandomForest,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,RandomForest,0.39,0.88,0.54,0.25,0.13,0.17,0.74,0.62,0.67,0.54,0.46,0.54,0.46,0.56,0.54,0.53
,Gradient Boosting,0.52,0.69,0.59,0.36,0.17,0.24,0.71,0.8,0.75,0.63,0.53,0.55,0.53,0.59,0.63,0.60,,Gradient Boosting,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,Gradient Boosting,0.39,0.88,0.54,0,0,0,0.72,0.75,0.73,0.59,0.37,0.54,0.42,0.49,0.59,0.52
,XGBoost,0.55,0.75,0.63,0.47,0.39,0.43,0.75,0.73,0.74,0.65,0.59,0.62,0.60,0.65,0.65,0.65,,XGBoost,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,XGBoost,0.39,0.88,0.54,0,0,0,0.72,0.75,0.73,0.59,0.37,0.54,0.42,0.49,0.59,0.52
,AdaBoost,0.48,0.69,0.56,0.50,0.3,0.38,0.75,0.78,0.77,0.65,0.58,0.59,0.57,0.65,0.65,0.64,,AdaBoost,0,0,0,0.34,0.52,0.41,0.78,0.84,0.81,0.62,0.37,0.45,0.41,0.54,0.62,0.57,,AdaBoost,0.39,0.88,0.54,0,0,0,0.74,0.76,0.75,0.60,0.37,0.55,0.43,0.5,0.6,0.53
,Extra Trees,0.5,0.69,0.58,0.33,0.09,0.14,0.7,0.84,0.76,0.63,0.51,0.54,0.49,0.57,0.63,0.58,,Extra Trees,0.41,0.88,0.56,0.60,0.13,0.21,0.8,0.8,0.8,0.65,0.6,0.6,0.52,0.68,0.65,0.62,,Extra Trees,0.39,0.88,0.54,0.24,0.17,0.2,0.73,0.55,0.62,0.51,0.45,0.53,0.45,0.55,0.51,0.51
,Lightgbm,0.52,0.69,0.59,0.50,0.35,0.41,0.72,0.75,0.73,0.64,0.58,0.59,0.58,0.63,0.64,0.63,,Lightgbm,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,Lightgbm,0.39,0.88,0.54,0,0,0,0.72,0.76,0.74,0.60,0.37,0.55,0.43,0.49,0.6,0.53
,SVM,0.5,0.81,0.62,0.36,0.17,0.24,0.7,0.73,0.71,0.61,0.52,0.57,0.52,0.58,0.61,0.58,,SVM,0.41,0.88,0.56,0,0,0,0.77,0.84,0.8,0.64,0.39,0.57,0.45,0.52,0.64,0.56,,SVM,0.39,0.88,0.54,0,0,0,0.72,0.75,0.73,0.60,0.37,0.55,0.43,0.5,0.6,0.53
,MLP,0.57,0.75,0.65,0.39,0.3,0.34,0.71,0.71,0.71,0.62,0.56,0.59,0.57,0.61,0.62,0.61,,MLP,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,MLP,0.39,0.88,0.54,0,0,0,0.72,0.76,0.74,0.60,0.37,0.55,0.43,0.49,0.6,0.53
,CatBoost,0.57,0.75,0.65,0.54,0.3,0.39,0.73,0.8,0.77,0.67,0.61,0.62,0.60,0.66,0.67,0.65,,CatBoost,0.41,0.88,0.56,1.00,0.04,0.08,0.78,0.84,0.81,0.65,0.73,0.58,0.48,0.77,0.65,0.59,,CatBoost,0.39,0.88,0.54,0,0,0,0.72,0.76,0.74,0.60,0.37,0.55,0.43,0.49,0.6,0.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Annova,,,,,,,,,,,,,,,,,,Annova+smote,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,,,,,,,,,,,,,,,,,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,,,,,,,,,,,,,,,,,,,KNN ,0,0,0,0.41,0.61,0.49,0.77,0.84,0.8,0.64,0.39,0.48,0.43,0.55,0.64,0.59,,KNN ,0.11,0.06,0.08,0.34,0.48,0.4,0.79,0.76,0.78,0.57,0.42,0.43,0.42,0.57,0.57,0.57
,,,,,,,,,,,,,,,,,,,Naive Bayes,0.38,0.9,0.53,0.25,0.09,0.13,0.78,0.69,0.73,0.57,0.47,0.55,0.46,0.58,0.57,0.55,,Naive Bayes,0.33,0.94,0.49,0.17,0.04,0.07,0.84,0.65,0.73,0.55,0.45,0.55,0.43,0.59,0.55,0.53
,,,,,,,,,,,,,,,,,,,Logistic Regression,0.5,0.69,0.58,0.40,0.17,0.24,0.71,0.8,0.75,0.63,0.54,0.55,0.52,0.6,0.63,0.60,,Logistic Regression,0.48,0.69,0.56,0.36,0.22,0.27,0.72,0.75,0.73,0.61,0.52,0.55,0.52,0.59,0.61,0.59
,,,,,,,,,,,,,,,,,,,Decision Tree,0.56,0.56,0.56,0.43,0.43,0.43,0.75,0.75,0.75,0.64,0.58,0.58,0.58,0.64,0.64,0.64,,Decision Tree,0.39,0.75,0.51,0.50,0.3,0.38,0.78,0.69,0.73,0.61,0.55,0.58,0.54,0.64,0.61,0.61
,,,,,,,,,,,,,,,,,,,RandomForest,0.67,0.5,0.57,0.37,0.3,0.33,0.7,0.89,0.75,0.63,0.58,0.53,0.55,0.61,0.63,0.62,,RandomForest,0.39,0.75,0.51,0.40,0.17,0.24,0.74,0.71,0.72,0.59,0.51,0.54,0.49,0.59,0.59,0.57
,,,,,,,,,,,,,,,,,,,Gradient Boosting,0.67,0.5,0.57,0.32,0.3,0.31,0.68,0.75,0.71,0.6,0.56,0.52,0.53,0.59,0.6,0.59,,Gradient Boosting,0.41,0.75,0.53,0.53,0.35,0.42,0.78,0.71,0.74,0.63,0.58,0.6,0.57,0.66,0.63,0.63
,,,,,,,,,,,,,,,,,,,XGBoost,0.5,0.69,0.58,0.33,0.17,0.23,0.68,0.75,0.71,0.6,0.51,0.54,0.51,0.57,0.6,0.57,,XGBoost,0.4,0.75,0.52,0.46,0.26,0.33,0.76,0.71,0.74,0.61,0.54,0.57,0.53,0.63,0.61,0.6
,,,,,,,,,,,,,,,,,,,AdaBoost,0.27,0.19,0.22,0.23,0.22,0.22,0.7,0.78,0.74,0.54,0.4,0.4,0.4,0.51,0.54,0.53,,AdaBoost,0.39,0.69,0.5,0.54,0.3,0.39,0.75,0.73,0.74,0.62,0.56,0.57,0.54,0.64,0.62,0.61
,,,,,,,,,,,,,,,,,,,Extra Trees,0.56,0.56,0.56,0.38,0.35,0.36,0.72,0.75,0.73,0.62,0.55,0.55,0.55,0.61,0.62,0.61,,Extra Trees,0.39,0.75,0.51,0.36,0.17,0.24,0.73,0.69,0.71,0.57,0.49,0.54,0.49,0.58,0.57,0.56
,,,,,,,,,,,,,,,,,,,Lightgbm,0.67,0.5,0.57,0.32,0.3,0.31,0.68,0.75,0.71,0.6,0.56,0.52,0.53,0.59,0.6,0.59,,Lightgbm,0.41,0.75,0.53,0.45,0.22,0.29,0.76,0.75,0.75,0.62,0.54,0.57,0.53,0.63,0.62,0.6
,,,,,,,,,,,,,,,,,,,SVM,0.67,0.5,0.57,0.33,0.22,0.26,0.69,0.84,0.75,0.63,0.56,0.52,0.53,0.6,0.63,0.6,,SVM,0.43,0.75,0.55,0.44,0.17,0.25,0.75,0.78,0.77,0.63,0.54,0.57,0.52,0.62,0.63,0.6
,,,,,,,,,,,,,,,,,,,MLP,0.67,0.5,0.57,0.35,0.3,0.33,0.69,0.78,0.74,0.62,0.57,0.53,0.54,0.6,0.62,0.61,,MLP,0.41,0.75,0.53,0.50,0.26,0.34,0.77,0.75,0.76,0.63,0.56,0.59,0.55,0.65,0.63,0.62
,,,,,,,,,,,,,,,,,,,CatBoost,0.67,0.5,0.57,0.38,0.26,0.31,0.7,0.84,0.76,0.64,0.58,0.53,0.55,0.61,0.64,0.62,,CatBoost,0.46,0.75,0.57,0.57,0.35,0.43,0.78,0.76,0.77,0.66,0.6,0.62,0.59,0.67,0.66,0.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Forward Selection,,,,,,,,,,,,,,,,,,Forward Selection+smote,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
